Agrarminister,Agrarminister,Agrarminister,Agrarministerin,0,dereko
Agrarpolitiker,Agrarpolitiker,Agrarpolitiker,Agrarpolitikerin,0,dereko
Akademiker,Akademiker,Akademiker,Akademikerin,0,dereko
Akademiker,Akademiker,Akademiker,Person mit Hochschulabschluss,1,geschicktgendern
Akademiker,Akademiker,Akademiker,studierte Person,1,geschicktgendern
Akionär,Akionär,Akionär,Akionärin,0,dereko
Akrobat,Akrobat,Akrobat,Akrobatin,0,dereko
Akteur,Akteur,Akteur,Akteurin,0,dereko
Akteur,Akteur,Akteur,agierende Person,1,geschicktgendern
Akteur,Akteur,Akteur,aktive Person,1,geschicktgendern
Akteur,Akteur,Akteur,beteiligte Person,1,geschicktgendern
Akteur,Akteur,Akteur,handelnde Person,1,geschicktgendern
Akteursnetzwerk,Akteursnetzwerk,Akteursnetzwerk,Netzwerk von Aktiven,1,geschicktgendern
Akteursnetzwerk,Akteursnetzwerk,Akteursnetzwerk,Netzwerk von Engagierten,1,geschicktgendern
Aktienbesitzer,Aktienbesitzer,Aktienbesitzer,Aktienbesitzerin,0,dereko
Aktionskünstler,Aktionskünstler,Aktionskünstler,Aktionskünstlerin,0,dereko
Aktionsteilnehmer,Aktionsteilnehmer,Aktionsteilnehmer,Aktionsteilnehmerin,0,dereko
Aktionär,Aktionär,Aktionär,Aktionärin,0,dereko
Aktionär,Aktionär,Aktionär,Person mit Aktienbesitz,1,geschicktgendern
Aktionär,Aktionär,Aktionär,aktienhabende Person,1,geschicktgendern
Aktionär,Aktionär,Aktionär,anteilshabende Person,1,geschicktgendern
Aktionärsversammlung,Aktionärsversammlung,Aktionärsversammlung,Versammlung von Anteilshabenden,1,geschicktgendern
Aktionärsversammlung,Aktionärsversammlung,Aktionärsversammlung,Versammlung von Personen mit Aktienbesitz,1,geschicktgendern
Aktionärsvertreter,Aktionärsvertreter,Aktionärsvertreter,Aktionärsvertreterin,0,dereko
Aktivist,Aktivist,Aktivist,Aktivistin,0,dereko
Aktivist,Aktivist,Aktivist,engagierte Person,1,geschicktgendern
Aktivist,Aktivist,Aktivist,politisch aktiver Mensch,1,geschicktgendern
Aktivist,Aktivist,Aktivist,zielstrebig handelnde Person,1,geschicktgendern
Albaner,Albaner,Albaner,Albanerin,0,dereko
Alevit,Alevit,Alevit,Alevitin,0,dereko
Algerier,Algerier,Algerier,Algerierin,0,dereko
Alkoholiker,Alkoholiker,Alkoholiker,Alkoholikerin,0,dereko
Alkoholiker,Alkoholiker,Alkoholiker,Person mit Alkoholsucht,1,geschicktgendern
Alkoholiker,Alkoholiker,Alkoholiker,alkoholsüchtige Person,1,geschicktgendern
Alleinerziehend,Alleinerziehend,Alleinerziehende,Ein-Eltern-Familie,1,geschicktgendern
Alleinerziehend,Alleinerziehend,Alleinerziehende,Ein-Eltern-Haushalt,1,geschicktgendern
Alleinerzieher,Alleinerzieher,Alleinerzieher,Alleinerzieherin,0,dereko
Alleinverdiener,Alleinverdiener,Alleinverdiener,Alleinverdienerin,0,dereko
Allergiker,Allergiker,Allergiker,Allergikerin,0,dereko
Allergiker,Allergiker,Allergiker,Person mit Allergie,1,geschicktgendern
Allergiker,Allergiker,Allergiker,allergiegeplagte Person,1,geschicktgendern
Allergiker,Allergiker,Allergiker,allergieleidende Person,1,geschicktgendern
Alleskönner,Alleskönner,Alleskönner,Multitalent,1,geschicktgendern
Alleskönner,Alleskönner,Alleskönner,Universalgenie,1,geschicktgendern
Alleskönner,Alleskönner,Alleskönner,vielseitig begabter Mensch,1,geschicktgendern
Allgemeinmediziner,Allgemeinmediziner,Allgemeinmediziner,Allgemeinmedizin praktizierende Person,1,geschicktgendern
Allgemeinmediziner,Allgemeinmediziner,Allgemeinmediziner,Allgemeinmedizinerin,0,dereko
Allrounder,Allrounder,Allrounder,Allrounderin,0,dereko
Alltagsheld,Alltagsheld,Alltagsheld,Alltagsheldin,0,dereko
Alltagshelden,Alltagshelden,Alltagshelden,Ehrenamtliche,2,geschicktgendern
Alltagshelden,Alltagshelden,Alltagshelden,Tag versüßende Person,1,geschicktgendern
Alltagshelden,Alltagshelden,Alltagshelden,Zivilcourage leistende Person,1,geschicktgendern
Alltagshelfer,Alltagshelfer,Alltagshelfer,Alltagshilfe,1,geschicktgendern
Alltagsmanager,Alltagsmanager,Alltagsmanager,Alltagsmanagerin,0,dereko
Alltagsradler,Alltagsradler,Alltagsradler,Alltagsradlerin,0,dereko
Alpinist,Alpinist,Alpinist,Alpinistin,0,dereko
Alpinist,Alpinist,Alpinist,bergbesteigende Person,1,geschicktgendern
Alpinist,Alpinist,Alpinist,bergkletternde Person,1,geschicktgendern
Alpinist,Alpinist,Alpinist,bergsteigende Person,1,geschicktgendern
Altaktivist,Altaktivist,Altaktivist,Altaktivistin,0,dereko
Altbewerber,Altbewerber,Altbewerber,Altbewerberin,0,dereko
Altenfachbetreuer,Altenfachbetreuer,Altenfachbetreuer,Altenfachbetreuerin,0,dereko
Altenheimbewohner,Altenheimbewohner,Altenheimbewohner,Altenheimbewohnerin,0,dereko
Altenhelfer,Altenhelfer,Altenhelfer,Altenhelferin,0,dereko
Altenpflegehelfer,Altenpflegehelfer,Altenpflegehelfer,Altenpflegehelferin,0,dereko
Altenpfleger,Altenpfleger,Altenpfleger,Altenpflegeperson,1,geschicktgendern
Altenpfleger,Altenpfleger,Altenpfleger,Altenpflegerin,0,dereko
Altenpfleger,Altenpfleger,Altenpfleger,Fachkraft für Altenpflege,1,geschicktgendern
Altenpfleger,Altenpfleger,Altenpfleger,Krankenpflegeperson,1,geschicktgendern
Altenpfleger,Altenpfleger,Altenpfleger,Pflegefachkraft,1,geschicktgendern
Altenpfleger,Altenpfleger,Altenpfleger,Pflegefachperson,1,geschicktgendern
Altenpflegeschüler,Altenpflegeschüler,Altenpflegeschüler,Altenpflegeschülerin,0,dereko
Altersgenossd,Altersgenossd,Altersgenossd,Altersgenossin,0,dereko
Altersgenosse,Altersgenosse,Altersgenosse,Person derselben Altersgruppe,1,geschicktgendern
Altersgenosse,Altersgenosse,Altersgenosse,gleich alte Person,1,geschicktgendern
Altersgenosse,Altersgenosse,Altersgenosse,gleichaltrige Person,1,geschicktgendern
Altersgenosse,Altersgenosse,Altersgenosse,peer group,2,geschicktgendern
Altkanzler,Altkanzler,Altkanzler,ehemaliges Regierungsoberhaupt,1,geschicktgendern
Altmieter,Altmieter,Altmieter,Altmieterin,0,dereko
Altonaer,Altonaer,Altonaer,Altonaerin,0,dereko
Altredakteur,Altredakteur,Altredakteur,Altredakteurin,0,dereko
Alumni,Alumni,Alumni,Ehemalige,2,geschicktgendern
Amateur,Amateur,Amateur,Amateurin,0,dereko
Amateur,Amateur,Amateur,Neuling,1,geschicktgendern
Amateur,Amateur,Amateur,Person ohne Vorkenntnisse,1,geschicktgendern
Amateur,Amateur,Amateur,anfangende Person,1,geschicktgendern
