"word"
(...) junior
(alle) Servicemitarbeiter
(das) Fräulein Tochter
(das) Kopfballungeheuer
(dein) Freund und Helfer
(der) Arm des Gesetzes
(der) Bock vom Babelsberg
(der) böhmische Gefreite
(der) böhmische Gefreite
(der) Führer
(der) Führer
(der) GröFaZ
(der) GröFaZ
(der) größte Feldherr aller Zeiten
(der) größte Feldherr aller Zeiten
(der) Kaiser
(der) King of Rock'n Roll
(der) Mann am Klavier
"(der) Mann, der niemals lachte"
(der) normannische Kleiderschrank
(die) Ente
(die) Göttliche
(die) Herrschaft
(die) Königin der Herzen
(die) schwedische Sphinx
(die) Traumprinzessin der Ewigkeit
(die) Unschuld vom Lande
(die) verfolgte Unschuld
(ein) Vater bzw. eine Mutter
(eine) Lolita
(gelernter) Bergarbeiter
(jemandes) alte Dame
(mein) Junge
(plötzlich) den Sanftmütigen geben
(sich) plötzlich von seiner sanften Seite zeigen
...spieler (Musikinstrument)
Abgeschobener
Abschiebehäftling
Abteilungsleiter
Abwehrspieler (Fußball)
Abzuschiebender
Achsmacher
Adolf Hitler
Adolf Hitler
adoptierte Tochter
Adoptivsohn
Adoptivtochter
Advokat
Ahn
Akrobat
Alltags-Koch
Alte
Alter
Alter
Alter
alter Herr
alter Herr
alter Knabe
alter Mann
Alterchen
älterer Herr
älteres Semester
Altreich-Deutsche
Altwarenhändler
Amokfahrer
Amokläufer
Amoklenker
Amtsleiter
Amtsvorsteher
an Kindes statt angenommene Tochter
an Kleptomanie leiden(d)
angenommene Tochter
Angiologe
Anstreicher
Antikenhändler
Antiquitätenhändler
Anwalt
Anzeigenvertreter
apostolischer Nuntius
Ariseur
Arisierer
Artist
Arzt am Krankenhaus
Arzt an einer Klinik
Arzt für Gefäßerkrankungen
Arzt mit eigener Praxis
Assassine
Atze
Auftragskiller
Auftragsmörder
Augenarzt
Aulner
Außenamtschef
Außenminister
ausgebildeter Koch
Auskulator
Auskulator
Auskultant
Auskultant
Auskultator
Auskultator
Ausputzer (Fußball)
Autobuschauffeur
Autobusfahrer
Autoposer
Badearzt
Bader
Bandleader
Bandleader
Barbier
Barde (archaisierend)
Base
Bassgitarrist
Bassist
Bauerntölpel
Bauerntölpel
Bauerntrampel
Bauerntrampel (abwertend)
Bazi
Beikoch
Beilagenkoch
Bender
Bengel
Berg- und Maschinenmann
Berg- und Maschinenmann (dualer Ausbildungsberuf)
Bergmaschinenmann
Berichterstatter
Berichterstatter
Berufskiller
Besen
Besitzer eines Kramladens
Bewegungskünstler
Bierkellner
Bildberichterstatter
Bildjournalist
Bildreporter
Binder
Blattmacher
Blechner
Blutsverwandte
Blutsverwandter
Bomber der Nation
Boricua
Börsenhändler
Börsenmakler
Börsianer
boshaftes Weibsstück
Böttcher
Böttiger
Böttner
Boulevardjournalist
Bratenkoch
Bratscher
Bratschist
Broker
Bruchpilot
Bruder
Bruderherz
Bud Spencer
Bühnenkünstler
Bühnenmagier
Bukanier
Bulle
Bumser
Bundeskanzler
Bundeskanzlerin
Bundespräsident
Bundestagsabgeordneter
Bundi
Buntfutterer
Buschauffeur
Busfahrer
Buslenker
Buster Keaton
Butch
Büttner
Carlo Pedersoli (bürgerlich)
CDU-Mitglied
Cellist
Cellospieler
CEO
Chanson-Sänger
Chansonnier
Chef de Cuisine
Chef de rang
Chef des Stabes
Chefarzt
Chefdiplomat
Chefdirigent
Chefdirigent
Chefingenieur
Chefkoch
Chorleiter
Chorleiter
Christdemokrat
Clown
Clown
Coiffeur
Coiffeurin
Coiffeuse
Commis de Cuisine
Commis de rang
Confiseur
Cop
Copilot
Cousin
Cousine
Curd Jürgens
D-Arzt
Dad
Daddy
Dame des Hauses
deine arme alte Mutter (halb-scherzhaft)
Demichef de rang
Dentist
der Alte
der King
Dermatologe
Despot
Diana Frances Spencer
Diana Spencer
Dick und Doof
Dick und Doof
Dick und Doof
Dick und Doof
dickes Kleinkind
Diebsgesindel
Diktator
Dipl.-Ing.
Diplomingenieur
Dirigent
Dirigent
Doktor der Medizin
Doleatoris
Dompteur
Dorfdepp
Dorfpolizist
Dorfsheriff
Dorftrampel
Dorftrottel
Double
Dr. med.
Drachen
Drehorgelspieler
Dreikäsehoch
Dresseur
Drogenbaron
Drogenboss
Drogenfahnder
Drogenproduzent
Drossart
Drost
Drummer
Dschihadist
Dudelsackbläser
Dudelsackspieler
dummer August
dummer August
Durchgangsarzt
Effektenmakler
Ehrendame
einer vom Fernsehen
einer vom Radio
einer von der Kripo
Einrichter
Eiskunstläufer
Eisschnellläufer
Elter
Elternteil
Elvis
Elvis Presley
Enkel
Enkelkind
Enter
Enthüllungsjournalist
Entremetier
Ermittler
Ersatzdarsteller
erster Angestellter
Erster Mann im Staate
Erzeuger (auch ironisch)
Erziehungsberechtigte(r)
Ethnologe
Experte
Faber
Facharzt
Facharzt für forensische Medizin
Fagottist
Fagottspieler
Fallott
Fassbinder
Fassler
Fässler
Fassmacher
Fauth
Feinbäcker
Feldscher
Ferkel
Fernsehfritze
Fernsehjournalist
Fernsehkoch
Fernsehmacher
Fernsehmann
feuerspeiender Drache
Fiedler (leicht abwertend)
Fierant
Figaro
Filibuster
Filius
Filmschauspieler
Filmwissenschaftler
Findelkind
Findling
Fischkoch
Flaschner
Flechtwerkgestalter
Flegel
Fleischer
Fleischhacker
Fleischhauer
Flötenspieler
Flötist
Flugsicherheitsbegleiter
Fohlen
Folklorist
