ungendered,gendered
Ansprechpartner (sg.),Ansprechperson; Kontakt; Kontaktperson; Auskunft gibt ... ; zuständig ist ... ; Hotline; Hilfeteam; Service; Servicepersonal
Antagonist,widerstreitende Person; Counterpart; Konkurrenz; gegenhandelnde Person
Anteilseigner (pl.),Anteilsinhabende
Antisemit,antisemitisch eingestellte Person
Antragsteller (sg.),"beantragende Person/Einrichtung; die Person, die einen Antrag stellt; die antragstellende Person; Antrag gestellt von ... "
... Antragsteller werden in Kürze benachrichtigt.,... Sie werden kurz nach Antragstellung benachrichtigt.
Anwalt,"Rechtsvertretung; gesetzliche Vertretung in Rechtsangelegenheiten; <div class=""tooltip"">Rechtsbeistand (nicht empfohlen) [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">im streng juristischen Sinne hat ein Rechtsbeistand andere Befugnisse und Vertretungsrechte als ein*e Rechtsanwält*in; es existiert zudem die Bezeichnung Rechtsbeiständin</span> </div> ; Mitglied der Anwaltschaft"
Anwaltskosten,Kosten für die Rechtsvertretung
Anwärter,Person im Vorbereitungsdienst
Anwender (pl.),"Nutzende; Anwendende; Personen, die ... anwenden; Anwendung"
anwenderbezogen,anwendungsbezogen; praxisbezogen; verwendungsbezogen; menschbezogen
Anwenderfreundlichkeit,Verwendungsfreundlichkeit
Anwohner (pl.),"alle, die in dieser Straße wohnen; Anwohnende; Nachbarschaft"
Apotheker (pl.),(approbierte) Arzneikundige; approbierte pharmazeutische Fachkräfte
... Fragen Sie Ihren Arzt oder Apotheker.,... Holen Sie sich ärztlichen oder pharmazeutischen Rat. / Holen Sie sich bei Fragen ärztlichen Rat oder erkundigen Sie sich in Ihrer Apotheke.
Arbeiter (sg.),Arbeitskraft
Arbeiter (pl.),Erwerbstätige; Belegschaft; Beschäftigte; Arbeitskräfte
Arbeiterklasse,arbeitende Klasse
Arbeitgeber (sg.),"Führungskraft; arbeitgebendes Unternehmen; Person, die Arbeitsplätze zur Verfügung stellt; [im Arbeitsvertrag konkret:] Firma, Unternehmen, Gesellschaft, Genossenschaft, Einrichtung, Institution, Amt, Behörde; Arbeitsstelle ... "
Arbeitgeber (pl.),Arbeitgebende; Betriebe; Unternehmen
"... Das ist ein Aspekt, der für seine späteren Arbeitgeber interessant ist.","... Das ist ein Aspekt, der im späteren Bewerbungsprozess von Vorteil ist."
Arbeitgeberattraktivität,Arbeitsplatzattraktivität
Arbeitgebermarke,Unternehmensmarke; Employer Branding
Arbeitgebermarketing,Marketing für Arbeitgebende
Arbeitgebervorteile,Firmenvorteile; Unternehmensvorteile
Arbeitnehmer (sg.),angestellte Person; beschäftigte Person
Arbeitnehmer (pl.),Beschäftigte; Arbeitskräfte; Belegschaft; Personal
Arbeitnehmervertreter,Arbeitnehmendenvertretung; Betriebsrat; Personalrat; Beschäftigtenvertretung
Arbeitsdirektor,Arbeitsdirektion
Arbeitskollegen,Teammitglieder
... Anna und Peter sind Arbeitskollegen.,... Anna und Peter arbeiten in derselben Firma. / Anna und Peter arbeiten in einem Team. / Anna und Peter sind Teammitglieder. / Anna und Peter kennen sich von der Arbeit.
Archäologen,in der Archäologie tätige Person
Architekt,Architekturschaffende Person; Baukunstgestaltende Person
Architekten ,Architekturschaffende
Archivar,Fachkraft für Archivwesen
Archivare,Archivierende
Arzt,Person im ärztlichen Dienst; ärztliches Fachpersonal
"... Um an unserer Klinik als Arzt arbeiten zu können, müssen Sie die Approbation im Original vorlegen.","... Um an unserer Klinik im ärztlichen Dienst arbeiten zu können, müssen Sie die Approbation im Original vorlegen."
Arztausweis,ärztlicher Ausweis
Ärzte,ärztliches (Fach-)Personal; (ggf. Ärzteschaft)
"... Anmeldung beim Schul-, Haus- oder Kinderarzt",... privat- oder schulärztliche Anmeldung
... Hilfe eines Arztes,... ärztliche Hilfe
... Fragen Sie Ihren Arzt oder Apotheker.,... Holen Sie sich ärztlichen oder pharmazeutischen Rat. / Holen Sie sich bei Fragen ärztlichen Rat oder erkundigen Sie sich in Ihrer Apotheke.
... Rat des Arztes,... ärztlicher Rat
Arztbesuch,ärztlicher Kontakt; ärztliche Sprechstunde; Besuch der ärztlichen Sprechstunde; ärztliche Visite
Arztbrief,Entlassungsbrief; Entlassbericht; ärztlicher/medizinischer (Abschluss-)Bericht; ärztliche Epikrise; ärztlicher Brief; (ärztlicher) Befundbericht; ärztliches Informationsschreiben; ärztliche Information
Arztgeheimnis,ärztliche Schweigepflicht
Arzthelferinnen,Medizinische Fachangestellte; medizinsches Fachpersonal
Arztkoffer /-köfferchen,Behandlungstasche; Medizinkoffer /-köfferchen
Arztkosten,(ärztliche) Behandlungskosten; Kosten für medizinische Leistungen
Arzt-Patienten-Kommunikation,Kommunikation zwischen behandelnder und behandelter Person; behandlungsbezogene Kommunikation
Arzt-Patienten-Verhältnis,ärztliches Vertrauensverhältnis; medizinisches Behandlungsverhältnis
Arztpraxis,Praxis für ...-medizin (z.B. Praxis für Allgemeinmedizin); ärztliche Praxis
Arzttermin,Behandlungstermin; Vorsorgetermin; ärztlicher Termin
Arztwahl,Wahl des ärztlichen Fachpersonals
Arztzeugnis,ärztliches Zeugnis
Arztzimmer,Behandlungszimmer; Konsultationszimmer; Zimmer/Raum; Büro Arztliches Personal
Aspirant,bewerbende Person
... Es handelt sich bei XY um den Aspiranten für das Beamtenverhältnis.,... Es handelt sich bei XY um eine auf das Beamtenverhältnis bewerbende Person.
Assessor,sachverständige Person; taxierende Person; einschätzende Person; schadensachverständige Person
Assessoren,Sachverständige; Taxierende; Einschätzende; Schadensachverständige
Assistent,Assistenz
Assistenzarzt,Person in fachärztlicher Weiterbildung; ärztliches Fachpersonal in Weiterbildung
Astronaut,ins Weltall reisende Person
Astronauten,Weltraumreisende; Menschen im All
Asylbewerber (pl.),Asylsuchende; Personen im Asylverfahren
Atheist,atheistische Person; religionsfreie Person; nichtgläubige Person; irreligiöse Person; glaubenslose Person; areligiöse Person
Athlet,sporttreibende Person
Athleten,Sporttreibende; Wettkämpfende
Attentäter (sg.),"Person, die ein Attentat verübt"
Auditor,auditdurchführende Person
Auftraggeber (pl.),Auftraggebende; auftraggebende Personen; in Auftrag gegeben von ... 
Auftragnehmer (sg.),einen Auftrag entgegennehmende / annehmende Person
Auftragnehmer (pl.),Auftragnehmende
Augenoptiker (Geschäft mit Werkstatt),Optikfachgeschäft
Augenzeuge,beobachtende Person
Augenzeugen,Beobachtende
Aupairmädchen,Aupair
Ausbilder (sg.),ausbildender Betrieb; Lehrkraft
Ausbilder (pl.)," <div class=""tooltip"">Ausbildende [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">im strengen Sinne nicht identisch. Im BBiG wird ausdrücklich zwischen Ausbildendem (Betrieb, Unternehmen) und Ausbilder (Person, die Wissen vermittelt) unterschieden.</span> </div>"
Ausbildungsbewerber (sg.),eine Ausbildung suchende Person
Ausländer (sg.),Person aus dem Ausland; Person nichtdeutscher Herkunft; ausländische Person; Person mit anderer Staatsangehörigkeit
Ausländerbehörde,Migrationsamt/-stelle; Zuwanderungsamt/-stelle
Aussiedler (sg.),ausgesiedelte Person
Aussiedler (pl.),ausgesiedelte Personen
Ausstatter,ausstattende Person
Aussteiger [aus einer Szene],[aus einer Szene] aussteigende Person
Aussteller (sg.),ausstellende Person; ausstellende Institution
Aussteller (pl.),Präsentierende; Ausstellende
Ausstellerausweis,Ausweis der Ausstellenden; Ausweis der ausstellenden Person
Ausstellerliste,Liste der Ausstellenden; Ausstellendenliste
Auswanderer (sg.),auswandernde Person; ausgewanderte Person
Auswanderer (pl.),Auswandernde; Ausgewanderte
Ausweisinhaber,Ausweis inhabende Person
Auszubildender (sg.),Nachwuchskraft; Person in Ausbildung; auszubildende Person; lernende Person
Auszubildende (pl.),[im Plural ist dieses Wort schon gendergerecht]
Autofahrer (sg.),Auto fahrende Person; Auto führende Person; Person am Steuer
Autofahrer (pl.),Autofahrende; Personen am Steuer
Autohersteller (pl.),Automobilkonzerne; Autoherstellende; Autobauende
Autor,bücherschreibende Person
Autoren ,"Autorenschaft; Urheberrechtsinhabende; Verfassende; Schreibende; Literaturschaffende; wissenschaftlich Publizierende; <div class=""tooltip"">Auktorierende [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Erläuterung eines Users: 'Autor' kommt von lat. 'Auktor' und meinte  historisch v.a. den sozialen Akt des Verbürgens gegenüber Individuen oder einem Kollektiv. Spricht man von 'Schreibenden', fehlt der Aspekt des Sprechakts des Schreibens bzw. Veröffentlichens.</span> </div>"
Azubi,Nachwuchskraft; Person in Ausbildung; auszubildende Person; lernende Person
Babysitter (sg.),Aufsichtsperson; babysittende Person; Kinderbetreuung
Babysitter (pl.),Babysittende
Bachelor of ... ,B.A. / B. Sc. / ... 
... Sie ist Bachelor of Arts in Geschichte.,... Sie hat den Bachelor of Arts in Geschichte.
Bachelorand,studentische Stelle zur Anfertigung der Bachelorarbeit
Bäcker (sg.),Backwaren produzierende Person; Gebäck herstellende Person; Bäckerei
Bäcker (pl.),Backende; im Backgewerbe Tätige; professionell Backende
Bademeister,Badeaufsicht
Bankkaufmann,Bankkaufperson
Bankräuber (pl.),Bankausraubende
Barkeeper,Bar-Servicekraft; Servicekraft (an) der Bar
Bauarbeiter,Bauarbeiten ausführendes (Fach-)Personal
Bauern ,Landwirtschaft Betreibende; landwirtschaftlich Beschäftigte; Beschäftigte in der Landwirtschaft; bäuerliche Bevölkerung [historischer Kontext]
Bauernkrieg,Krieg der landbewirtschaftenden Bevölkerung
Bauherr,den Bau in Auftrag gebende Person; Auftraggebende Person / Instanz
Bauherren,Bauverantwortliche; Bauleute; den Bau in Auftrag gebende Personen
... Angebot für private Bauherren,... Angebot für privat Bauende
Bauherrschaft; Bauvorhabensschaft,Bauleute; Auftraggebende
Bauingenieur,für die Baukonstruktion verantwortliche Person; für die Bauplanung verantwortliche Person
Baumpfleger,Baumpflege
Bauträger (sg.),für den Bau verantwortliche Firma
Bauträger (pl.),Bautragende
Beamter (sg.),verbeamtete Person; Person im Beamtenstatus
Beamte (pl.),Bedienstete; Beamtenschaft
Beamtenlaufbahn,verbeamteter Werdegang; Laufbahn im öffentlichen Dienst mit Aussicht auf Verbeamtung
Bearbeiter (sg.),den Vorgang betreuende Person; zuständige Person
Beauftragter (sg.),beauftragte Person
... Sicherheits- / Datenschutz- / ...-beauftragter,... beauftragte Person für Sicherheit / Datenschutz / ... 
Bediener (sg.),bedienende Person
... Bediener einer technischen Anlage,... eine technische Anlage bedienende Person
Bediensteter (sg.),bedienstete Person
Befrager,"befragende Person; Person, die befragt (hat)"
Befragter,"befragte Person; Person, die befragt wurde"
Befürworter (sg.),befürwortende Person; zustimmende Person; Zustimmung
Befürworter (pl.),Unterstützung; Zustimmende; Mitwirkende; Befürwortende
Begleiter,Begleitung
Behinderter,Mensch mit Behinderung; Mensch mit Beeinträchtigung
Beisitzer (pl.),Beisitzende
Bekannter,Person aus dem Bekanntenkreis; (mir) bekannte Person; Bekanntschaft
bemannt,besetzt; mit Personen besetzt; astronautisch
... bemannte Raumfahrt,"... Raumfahrt mit Besatzung; <div class=""tooltip"">... astronautische Raumfahrt; kosmonautische Raumfahrt; taikonautische Raumfahrt [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext""> im Gegensatz zu robotischer Raumfahrt</span> </div>"
bemuttern,"fürsorglich sein, verhätscheln, umsorgen"
Benutzer (sg.),anwendende Person; nutzende Person
Benutzer (pl.),Anwendende; Nutzende; Personen(-gruppen)
benutzerdefiniert,maßgeschneidert; speziell; passgenau; individuell einstellbar; spezifisch; selbstdefiniert
