ungendered,gendered
Chorleiter (pl.),Chorleitende; Chorleitungen
Coach,Begleitung; Beratung; coachende Person
Coder,codende Person
Cousins,Geschwister 2. Grades
Damenfahrrad,Trapezrahmenfahrrad; Fahrrad mit tiefem Einstieg
damenhaft,fein
Damenprogramm,Begleitprogramm
Darsteller (sg.),darstellende Person
... Kinderdarsteller (sg.),... darstellende Person im Kindesalter; ... schauspielendes/darstellendes Kind
Darsteller (pl.),Rollen; Besetzung; Darstellende
... Kinderdarsteller (pl.),... Darstellende kindlichen Alters
Datenschutzbeauftragter,Fachperson für Datenschutz; Datenschutzverantwortlichkeit
Dekan,Leitung des Dekanats; Dekanat
Delegierter,delegierte Person
Demokraten,Demokratiebegeisterte; Demokratieüberzeugte
Demonstranten,Demonstrierende
"derjenige, der... ","diejenige Person, die ... ; die Person, die ... "
Designer (pl.),Designschaffende
Deutscher (sg.),Person aus Deutschland; deutsche Person; Person mit deutscher Staatsangehörigkeit
Developer,Developing Person; Developing Employee
Dezernent,Dezernat leitende Person
Dichter,dichtende Person; poetische Person
... Land der Dichter und Denker,... Land der Literatur; Land der Gedichte und Gedanken; Land der Dichtung und des Denkens; Land der dichtenden und denkenden Personen; Land der Dichtenden und Denkenden
Dieb,Eigentum entwendende Person; Langfinger
Diebe,Kriminelle; Langfinger
Dienstherr,Dienstaufsichtsperson; Dienstbehörde
Dienstherrengenehmigung,"<div class=""tooltip"">Vorgesetztengenehmigung [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">im strengen Sinne nicht korrekt, da ein Dienstherr nicht mit Vorgesetzten identisch ist</span> </div>; Genehmigung der vorgesetzten Führungskraft; Dienststellengenehmigung; behördliche Genehmigung"
Dienstleister (sg.),dienstleistende Person; dienstleistendes Unternehmen; Dienstleistungsunternehmen
Dienstleister (pl.),Dienstleistende
Diplomingenieur,diplomierte technische Fachkraft
"... Anteil von Wissenschaftlern und Ingenieuren an der Gesamtarbeitskraft nach
Geschlecht, 2013","... Anteil von Forschenden und diplomierten technischen Fachkräften an der Gesamtarbeitskraft nach Geschlecht, 2013"
Direktor,Leitung [z.B. Schulleitung; Institutsleitung; Museumsleitung]
Dirigent,unter dem Dirigat von ...; unter Leitung von ... 
Dispatcher,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Disponent,Disposition
DJ (sg.),der/die DJ
Doktoranden,Promovierende
Doktorandenkolleg,Promotionskolleg; Promovierendenkolleg
Doktorarbeit,Promotion
Doktorvater/-mutter,Promotionsbetreuung; Vorsitz des Promotionskomitees
... Wer ist Ihr Doktorvater?,... Wer betreut Ihre Promotion? / ... Wer hat die Betreuung Ihrer Promotion inne?
Dokumenteninhaber,im Besitz von Dokumenten
Dolmetscher (sg.),(simultan / konsekutiv) dolmetschende Fachkraft
Dönermann,Dönerimbiss; Dönerverkauf; Kebapverkauf; Dönerfachgeschäft; Dönerbude
... Lass uns in der Mittagspause zum Dönermann gehen!,... Lass uns in der Mittagspause zum Dönerimbiss gehen.
Doppelgänger,Double; Ebenbild; Doppelperson
Dozent,lehrende Person; Lehrkraft; Lehrperson; vortragende Person; Seminarleitung
Dozenten,Dozierende; Lehrpersonal; Lehrende
Dozententätigkeit,Lehrtätigkeit
Drachenlord,herrschende Drachenperson
Dritter,dritte Person
"... Gibt es einen Konflikt zwischen zwei WG-Bewohnern, kann die Unterstützung durch einen Dritten hilfreich sein.","... Gibt es einen Konflikt zwischen zwein in der WG, kann die Unterstützung einer dritten Person hilfreich sein."
... jeder Dritte,... ein Drittel
Editor,herausgebende Person
Ehegatte,die Ehe teilende Person; Ehemensch; Eheherzperson; Herzmensch; 
Ehegatten,Eheleute
Ehepartner,geehelichte Person; Ehemensch
Ehrenamtler (pl.),Ehrenamtliche; Freiwillige; (ehrenamtlich) Engagierte
Ehrenmann,Ehrenperson
Eigentümer,(im) Eigentum von ... 
... Immobilien- / Hauseigentümer (sg.),... Eigentumspartei
... Immobilien- / Hauseigentümer (pl.),"... Vermietende; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Eigentümerversammlung,Versammlung der Beteiligten am Wohneigentum; Versammlung der Besitzenden
Eigner,s. Eigentümer
Einbrecher (pl.),einbrechende Personen
Einlader,einladende Person
Ein-Mann-Betrieb,Ein-Personen-Betrieb
einer nach dem anderen,der Reihe nach
... Ihr werdet jetzt gleich einer nach dem anderen euer Lied vorsingen.,... Ihr werdet jetzt gleich der Reihe nach euer Lied vorsingen.
einem selbst,dir selbst
... wenn es einem selbst schon mal so gegangen ist.,... wenn es dir selbst schon mal so gegangen ist.
Einsteigerkurs,Einstiegskurs; Grundlagenkurs; Grundkurs; Basiskurs
Einwanderer (pl.),Menschen mit Migrationshintergrund /-geschichte /-biografie; Menschen mit internationaler Geschichte
Einwandererfamilien,Familien mit Migrationshintergrund /-geschichte; Familien mit internationaler Geschichte
Einwohner (pl.),die Menschen der Stadt XY; Population; Bevölkerung; gemeldete Personen
... 2000 Einwohner/km2,... 2000 gemeldete Personen/km2
Einwohnerdichte,Bevölkerungsdichte
Einwohnerzahl,Bevölkerungszahl
Einzelgänger,alleinliebende Person
Einzelhändler,Person des Einzelhandels; Betrieb im Einzelhandel; im Einzelhandel tätige Person
Einzelkämpfer (pl.),Einzelkämpfende; Kriegsteilnehmende
Einzelner,alle; die einzelne Person
... jeder Einzelne,... alle; jede einzelne Person
Einzelne,[im Plural ist dieses Wort schon gendergerecht]
Einziger,einzige Person
Elektriker,Fachkraft für Elektrotechnik
Elektroniker (sg.),Elektrofachkraft
Elektrotechniker,Fachkraft für elektrotechnische Anlagen
Elternzeitrückkehrer (pl.),"Mitarbeitende, die aus der Elternzeit zurück kommen; Elternzeitrückkehrende"
Emittent,Wertpapierherausgebende Person
Empfänger (sg.),empfangsberechtigte Person; empfangen von ... ; für ... ; bestimmt für ... 
Empfangsdame,Empfang; Person/Personal am Empfang; Rezeption
Endverbraucher (pl.),Endverbrauchende; Endkonsumierende
Energieversorger,Energieversorgungsunternehmen
Enkel (sg.),Enkelkind; Kindeskind
Entdecker (sg.) ,entdeckt von ... 
Entdecker (pl.),entdeckt von ... ; entdeckende Personen /Kinder; Forschende; Entdeckende
Enthusiast,enthusiastische Person; begeisterte Person
Enthusiasten,Begeistere
Entscheider,Entscheidung fällende Person; entscheidungsbefugte Person
Entscheidungsträger (sg.),Person mit Entscheidungsbefugnis
Entscheidungsträger (pl.),Entscheidungtragende
... politische Entscheidungsträger,... politische Entscheidungstragende
Entwickler (pl.),"Entwickelnde; Erfindende; Ideenfindende <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Erbauer (pl.),Konstruierende; Erschaffende; erbaut von ...; ein Bau von ... 
Erbe,erbberechtigte Person
Erben,Erbberechtigte
Erfinder,erfindende Person; ideenfindende Person
Ergotherapeut,in der Ergotherapie tätige Person
Erkrankter,erkrankte Person
Ermittler (pl.),Ermittelnde; Ermittlungsteam
Errichter,errichtet von ... 
Ersteller,erstellt von ... 
Ersthelfer (sg.),erste Hilfe leistende Person; in Erster Hilfe geschulte Person
Ersthelfer (pl.),Ersthelfende
Erstsemester (pl.),Studierende im ersten Semester; Ersti
Erwachsener,erwachsene Person
Erwachsene (pl.),[dieser Begriff ist im Plural bereits genderneutral: sg. die Erwachsene (f.) oder der Erwachsene (m.) -> pl. die Erwachsenen (f.) und die Erwachsenen (m.)]
Erzähler (sg.),erzählende Figur; erzählende Person; Erzählinstanz
Erzähler (pl.),Erzählende
Erzeuger,ein Produkt erzeugende Person
... landwirtschaftliche Erzeuger,... landwirtschaftlich (Produkt-)Erzeugende; Produzierende von landwirtschaftlichen Produkten
Erzieher (sg.),pädagogische Fachkraft; Erziehungskraft
Erziehungsberechtigter,erziehungsberechtigte Person
Erziehungsberechtigte ,[im Plural ist dieses Wort schon gendergerecht]
Ethnologe,Person mit Fachwissen in Ethnologie; Person mit ethnologischer Expertise
EU-Kommissar,EU-Kommissionsmitglied
Evakuierungshelfer (sg.),Evakuierungshilfe; in Evakuierungshilfe geschulte Person; Evakuierungshilfe leistende Person
Exot [z.B. innerhalb eines Faches],Ausnahmeerscheinung
Experte (sg.),Fachgröße; Autorität; Koryphäe; Person vom Fach; Genie
Experten (pl.),Fachkräfte; Fachleute; Fachpersonen; Fachkundige; Sachverständige
Expertengruppe,Fachgruppe
Experteninterview,Expertiseinterview; Interview mit Fachleuten
Expertenkommission,Fachkommission; Kommission von Fachleuten
Expertenrating,Rating von Fachleuten
Expertenschätzung,Schätzung von Fachleuten; nach Einschätzung von Fachleuten; Expertise
Expertenstandard,Fachstandard
Expertentagung,Fachtagung
Expertentum,Expertise
Expertenvortrag,Fachvortrag
Expertenwissen,Fachwissen; Expertise
Extremist,radikalisierte Person
Facharbeiter (pl.),Facharbeitende
Facharzt,(fach-)ärztliche Fachkraft; Fachpraxis
Facharztrichtung,medizinische Fachrichtung
... Ärzte aus verschiedenen Facharztrichtungen,... Ärztinnen und Ärzte aus verschiedenen Fachrichtungen
Fachberater,Fachberatung
Fachinformatiker,"<div class=""tooltip"">(Informatikfachkraft) [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">eher nicht zu empfehlen, denn die Bezeichnung Fachinformatiker ist ein staatlich anerkannter Ausbildungsberuf; Informatikfachkraft ein Sammelbegriff für Menschen in der IT, auch ohne Ausbildung.</span> </div>; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Fachmann,Fachkraft
... Rat eines Fachmannes,... fachkundiger Rat; fachlicher Rat
fachmännisch,fachkundig; professionell
Fachvermögensträger,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Fachwirt,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Fachwissenschaftler (pl.),Fachforschende
Fahrer (sg.),Fahrdienst
... Der Fahrer des Wagens ABC möge bitte zu seinem Fahrzeug kommen. ,"... Die Person, die den Wagen ABC (im Halteverbot/auf dem Parkplatz), abgestellt hat, möge diesen bitte umparken."
Fahrer (pl.),Fahrzeugführende; Fahrende
Fahrerhaus,Cockpit
Fahrerkabine,Fahrkabine; Steuerungskabine
Fahrersitz,Cockpitsitz; Sitz der fahrenden Person
Fahrgast,mitreisende Person; gegen Entgelt transportierte Person
Fahrgäste,Mitfahrende; Reisende
Fahrgastraum,Abteil; Personenbeförderungsräume
Fahrradfahrer (pl.),Fahrrad Fahrende; wer mit dem Fahrrad unterwegs ist ... 
... Fahrradfahrer müssen absteigen.,... Fahrräder bitte nur schieben.
Fahrschüler (pl.),Fahrlernende
Fahrschullehrer,Fahrschullehrkraft
Fahrzeugführer,fahrzeugführende Person; Fahrzeugführung
Fahrzeughalter,"<div class=""tooltip"">eine ein Fahrzeug besitzende/führende Person [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">im strengen Sinne nicht korrekt: ein*e Fahrzeughalter*in muss weder Eigentümer*in sein (Leasing, Finanzierung) noch Besitzer*in (Fahrzeug wird an Lebensgefährten verliehen, Halterin fährt nicht mit/Halter ist ein Unternehmen), sondern ist die Person, die das Fahrzeug für eigene Rechnung in Gebrauch und Verfügungsgewalt hat. </span> </div>
"
Fahrzeuglenker (sg.),Fahrzeug lenkende Person
Familienbegleiter (sg.),Familienbegleitung; Familien begleitende (Fach-)Kraft
Familienhelfer (sg.),Familienhilfe; Familien unterstützende (Fach-)Kraft; die die Familie X. unterstützende Fachperson/Fachkraft; im familienunterstützenden Dienst arbeitende / angestellte Person
"<div class=""tooltip"">Familienvater [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Familienvater meint die Erziehungs- und Versorgungsrolle mit. Der Begriff Familienmutter ist nicht gebräuchlich.</span> </div>",Vater
Fan,in besonderem Maße begeisterte Person
Fans,Begeisterte
... Basketballfans,... Basketballbegeisterte
Faschist,dem Faschismus anhängende Person
Fasnächtler,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Favorit [nur bei Personen],favorisierte (antretende) Person; favorisierte Option; bevorzugte Person; Liebling
... Wer ist dein Favorit bei der Olympiade?,"... Wer ist deine favorisierte Person, die bei der Olympiade antritt?"
... Was ist dein Favorit - Tiramisu oder Zitronensorbet?,"[in diesem Fall ist keine gendergerechte Schreibweise notwendig, denn das Tiramisu und Zitronensorbet sind keine Personen und beziehen sich  nicht auf Personen]"
Feigling,feige Person; Angsthase
Feind,verfeindete Person
Feministin,feministische / feministisch eingestellte Person
Fertiger (sg.),fertigende Person
Fetischist,Person mit einem Fetisch
Feuerwehrmänner,Einsatzkräfte der Feuerwehr; Feuerwehrangehörige; Feuerwehr; Feuerwehrleute; Feuerbekämpfende
Filmemacher (sg.),filmschaffende Person
Filmemacher (pl.),Filmschaffende
Filmstar,Filmgröße; Filmberühmtheit
Finalist,am Finale teilnehmende Person
Finalisten,am Finale Teilnehmende
Finanzbeauftragter,finanzbeauftragte Person
Finanzintermediäre,Anbietende von Finanzintermediation; Finanzintermediierende
Fischer,Fisch fangende Person
Flammenwerfer,Flammen werfende Person
Flüchtlinge (pl.),Geflüchtete; Flüchtende; geflüchtete Menschen
Follower (pl.),Follis; Follows
Förderer (sg.),"Stelle, die Fördermittel vergibt"
Förderer (pl.),unterstützender Personenkreis
... Liebe Freunde und Förderer unseres Vereins!,... Liebe Vereinsfördernde!
Fördermittelgeber,"Stelle, die Fördermittel vergibt; fördermittelgebende Stelle/Institution"
Forscher (pl.),"Forschende; Universitätsmitglieder; wissenschaftliches Personal der Universität; Menschen, die in der Forschung tätig sind; Forschungsteam"
Forschergemeinde,Forschungsgemeinde
Forscherkolloquium,Forschungskolloquium
Forscherteam,Forschungsteam
Förster (pl.),Beschäftigte in der Forstwirtschaft
Forstwart,Forstaufsicht
Fortgeschrittene (pl.),[im Plural ist dieses Wort schon gendergerecht]
... Das Angebot richtet sich an Anfänger und Fortgeschrittene.,... Das Angebot richtet sich an Personen mit und ohne Vorkenntnisse.
Fotograf,fotografierende Person; (Berufs-)Fotografie betreibende Person 
Fotografen,Fotografierende; Aufnehmende
Fotografenteam,Fototeam; Fotografieteam
Freelancer (pl.),Freischaffende
Freiberufler (sg.),freiberuflich arbeitende Person; freischaffende Person
Freigeber (sg.),freigebende Person
Freiwilliger,freiwillige Person
Fremdsprachler,andere / fremde Sprache sprechende Person
Freund,(enge) Bezugsperson; Herzensmensch; Bekanntschaft; Lieblingsmensch; bessere Hälfte
... Hast du einen Freund?,... Bist du vergeben? Lebst du in einer Beziehung?
... Sasha ist meine Freundin.,"... Ich bin mit Sasha zusammen. / Sasha ist mein Lieblingsmensch/meine bessere Hälfte. / Sasha ist die Person, die ich liebe."
Freunde (pl.),Bekannte; Bezugspersonen; befreundete Personen
... Liebe Freunde und Förderer unseres Vereins!,... Liebe Bekannte und unterstützender Personenkreis unseres Vereins!
"... Der Verein ist ein Zusammenschluss von Eltern, Lehrkräften und Freunden der Schule.","... Der Verein ist ein Zusammenschluss von Eltern, Lehrkräften und unterstützenden Personen der Schule."
Freundeskreis,Personen in befreundeten Kreisen
Friseur,frisierende Person; Frisiersalon
... Ich gehe heute zum Friseur.,... Ich gehe heute in den Frisiersalon. / Ich gehe heute zum Haare schneiden. 
Friseure,Frisierende
Friseurtermin,Haarschneidetermin; Frisiertermin
Führerschein,Fahrerlaubnis; Fahrberechtigung
Funktionär,in Funktion gewählte Person; verantwortliche/beauftragte/bevollmächtigte Person; Vollmachtsperson
"Funktionäre [alle, die in einem Verein eine Funktion bekleiden]",Vollmachtspersonen
Funktionsträger,in Funktion gewählte Person; verantwortliche/beauftragte/bevollmächtigte Person
Fürsprecher (sg.),Unterstützung; Unterstützungskraft; Support
Fürsprecher (pl.),Mitwirkende; Beteiligte; Befürwortende; Support; Supportende; Fürsprechende
Fußballspieler (pl.),Fußballspielende
Fußgänger (pl.),Menschen zu Fuß; zu Fuß Gehende; Fußverkehr
Fußgängerstreifen,Zebrastreifen; Straßenpassierstreifen
Fußgängerüberweg,Überquerung
Fußgängerweg,Gehweg
Fußgängerzone,"Flanierzone; Einkaufsstraße; Einkaufszone; verkehrsfreie Zone; <div class=""tooltip"">verkehrsberuhigter Bereich [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">verkehrsrechtlich nicht identisch mit ""Fußgängerzone""; werden mit unterschiedlichen Verkehrsschildern ausgewiesen</span> </div>"
Gaffer (pl.),Schaulustige
Gamer (pl.),Gaming People
Gärtner,Gartenarbeitskraft
Gärtnerei,Gartenbaubetrieb
Gast,Besuch; Besuchsperson
Gastbeitrag,Sonderbeitrag
Gäste,"<div class=""tooltip"">Eingeladene; Geladene; Besuche [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Ich bin mir unsicher, ob 'Gäste' im Plural nicht schon gendergerecht ist, analog zum Wort 'Menschen'. Im Duden ist der feminine Plural 'GästinnenÄ allerdings zu finden.</span> </div>"
Gästeführer,Reiseführung; Reiseleitung; (Tourguide)
Gastgeber (sg.),einladende Person
Gastgeber (pl.),Einladende
Gasthörer (pl.),Studierende im Gaststudium
Gasthörerstatus,Gaststudierendenstatus; Gasthörstatus
Gasthörerstudium,Gaststudium; Hospitation
Gastronomen,"<div class=""tooltip"">Betreibende eines Gastronomiebetriebs [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">nicht immer korrekt: auch eine Kellnerin kann Gastronomin sein, ohne eine Gastronomie zu betreiben</span> </div>"
Gastwirt,Gastronomiebetriebsleitung
Gastwirte,Betreibende eines Gastronomiebetriebs
Gastwissenschaftler (pl.),Gastforschende
Gatte,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Gefreiter,Person mit zweitniedrigstem militärischen Mannschaftsdienstgrad
Gegenkandidat,Gegenkandidatur
Gegenspieler (sg.),gegnerische Partei; widerstreitende Person; Counterpart; Konkurrenz
Gegenspieler (pl.),gegnerische Partei; gegnerische Spielende; feindliche Spielende; Gegenseite; Konkurrenz
Gegner (sg.),gegnerische Partei; widerstreitende Person; Counterpart; Konkurrenz; ablehnende Person
Gegner (pl.),gegnerische Partei; gegnerische Spielende; feindliche Spielende; Gegenseite; Konkurrenz
Geisterfahrer,Fahrzeug in falscher Richtung; Geisterfahrzeug
... Achtung! Auf der A7 befindet sich ein Geisterfahrer im Bereich XY. ,... Achtung! Auf der A7 befindet sich ein Fahrzeug in falscher Richtung im Bereich XY. 
Geldgeber (pl.),Geldgebende; support; geldgebende Institution
Gelehrter,gelehrte Person
Generaldirektor,Direktoriumsleitung
Generalist,Universalgenie; Multitalent; fachlich breit aufgestellter Mensch
"General Manager [Systemgastronomie, Hotellerie]",Verantwortungsperson im General Management
Generalsekretär,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Genießer,Genussmensch
... Wanderung für Genießer,... Wanderung für Genussmenschen
Genosse,Mitglied der Genossenschaft
Gentlemen's Agreement,mündliche Vereinbarung; Vereinbarung per Handschlag; Absprache unter Ehrenleuten
Geograph,Person mit Fachwissen in Geographie;  Mensch mit fundiertem Wissen über Geographie
Geologe,Person mit Fachwissen in Geologie; Mensch mit fundiertem Wissen über Geologie
Geologen,Forschende der Geologie
Gerätewart,Geräteaufsicht
Gerichtsvollzieher,Gerichtsvollzugsperson
Geschäftsführer (sg.),Geschäftsführung; Geschäftsleitung
Geschäftsmänner,Geschäftsleute
Geschäftspartner,geschäftliche Verbindung; geschäftlicher Kontakt
... Wir danken allen Geschäftspartner und Freunden.,... Wir danken allen geschäftlichen Kontakten und unserem Freundeskreis.
Gesellschafter (pl.),Betriebsgesellschaft; Beteiligte; Gesellschaftende
Gesellschafter [teilhabende Einzelperson],im Besitz von Geschäftsanteilen stehende Person; Person mit Geschäftsanteilen
Gesetzgeber,Legislative; gesetzgebende Instanz; Gesetzgebende
Gesprächspartner (sg.),Gegenüber
Gesprächspartner (pl.),Gesprächsbeteiligte; Gegenüber
Gesprächsteilnehmer (pl.),Gesprächsbeteiligte
Gestalter (pl.),Gestaltende
Gewinner (sg./pl.),Erster Platz
... Der Gewinner wird um 15 Uhr bekannt gegeben.,"... Um 15 Uhr wird bekannt gegeben, wer gewonnen hat."
Gläubiger (pl.),Geld-/Kreditgebende
Götter,Allwissende; Allmächtige; übernatürliche Wesen; Ewige; Gottheiten
Grafiker,Grafikprofi
"Grenzgänger (pl.) [Personen, die beruflich täglich im angrenzenden Nachbarstaat arbeiten]",Grenzpendelnde
Grinsepeter,Grinsebacke; Grinsegesicht; Grinsekuchen; Sonnenschein
Grundeigentümer,Person mit Grundeigentum
Gründer,gründende Person
Gründerzeit,Gründungszeit
Gründerzentrum,Gründungszentrum; Innovationszentrum; Technologiezentrum
Grundrechtsträger (sg.)," <div class=""tooltip"">grundrechtsberechtigte Person [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Hinweis eines*einer User*in: Alternative kann auch in juristischen Kontexten korrekt benutzt werden</span> </div>"
Grundschüler (sg.),Grundschulkind
Grundschüler (pl.),Kinder in der Grundschule
Gruppenleiter (pl.),Gruppenleitende; Gruppenleitung
Guide [Tourguide],Reiseführung; Reiseleitung
Guru,spirituelles Vorbild / Idol
Gutachter (sg.),begutachtet von ... 
Gutachter (pl.),Sachverständige; Begutachtende
Gymnasiast,Person auf einem Gymnasium; ein Gymnasium besuchende Person; gymnasial lernende Person
Gynäkologe,medizinisches/ärztliches Fachpersonal für Gynäkologie
Hacker (pl.),"Personen, die fremde Digitaldaten nutzen; Hackende; umfunktionierende Personen; Cyber-Kriminelle <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Hackerangriff,Hackingangriff; Hackangriff
Hamburger (pl.),die Hamburger Bevölkerung
Handelspartner,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Handlanger,helfende Person; rechte Hand von jemandem
Händler,Shops; der Handel; Handelnde
Handwerker (sg.),handwerkliches Fachpersonal; handwerkliche Fachkraft
Handwerker (pl.),Handwerksbetriebe; Handwerkende; Fachpersonal im Handwerk
... Die Handwerker schließen sich zu Kooperationen zusammen.,... Die Handwerksbetriebe schließen sich zu Kooperationen zusammen.
Handwerksmeister,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
ein Hansdampf (in allen Gassen) sein,Multitalent; Universalgenie; vielseitig begabter Mensch
Hauptcharakter,"[dieses Wort ist meiner Meinung nach schon gendergerecht; wer dennoch eine Alternative bevorzugt, kann diese hier nutzen:] Hauptfigur; Hauptperson; Hauptfigur; zentrale Gestalt; Schlüsselfigur; Titelrolle"
Hauptfachlehrer (pl.),Hauptfachgruppe; Fachgruppe
Häuptling,Oberhaupt
Hauptmieter,Hauptmietpartei; Hauptmietperson; Hauptmietvertragsperson
Hausarzt,hausärztliche Fachkraft; Hauspraxis
Hauseigentümer (pl.),Hausbesitzende Gemeinschaft
Hausdame (in Hotels),Hausservice
Hausfrau,haushaltsführende Person; Haushalt organisierende Person; Haushaltsvorstand
Hausherr,Familienvorstand; Hausvorstand
Hausherren [in der Sportberichterstattung],"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Hausmannskost,einfache Küche; gut bürgerliche Küche; traditionell zubereitete Gerichte; Alltagsessen
Hausmeister (sg./pl.),Gebäudemanagement
Hauswart,Hauswartung
Hebammen,Geburtshelfende
Held,Schlüsselperson; Hauptperson; außerordentlich erfolgreiche Person; Vorbild
Helfer (sg.),Hilfskraft; Assistenz
Helfer (pl.),Helfende
... ehrenamtliche Helfer (pl.),Ehrenamtliche; Freiwillige; (ehrenamtlich) Engagierte
... Humanitäre Helfer (pl.),... Humanitäre Helfende
Herausgeber (sg./pl.),herausgegeben von ... 
Herr ... ,... 
... einer Sache Herr werden,... etwas in den Griff bekommen; etwas unter Kontrolle bekommen; etwas besser überblicken können
... nicht mehr Herr seiner Sinne sein,"... nicht wissen, was man tut"
... sein eigener Herr sein,... unabhängig sein; sich nach niemandem richten müssen
... aus aller Herren Länder,... aus aller Welt; aus der ganzen Welt
... Herr der Lage sein,... den Überblick haben; alles unter Kontrolle haben
Herrenfahrrad,Diamantrahmenfahrrad
Herrenhaus,Gutshaus
herrenlos,verlassen; nicht zuzuordnen; unbeaufsichtigt; personenlos; frei; besitzlos
... ein herrenloser Koffer,"... ein verlassener/nicht zuordenbarer Koffer; ein Koffer, der keiner Person gehört"
Herrschaften,Personen; Leute
Herrscher (sg.),Staatsoberhaupt
Hersteller (sg.),Herstellfirma; herstellendes Unternehmen
Hexe,"(schwarze) Zauberkraft innehabende Person; Person mit (schwarzen) Zauberkräften; mit Zauberkräften ausgestattete Person; Person, die Zauberkraft hat"
Hinterbliebener,hinterbliebene Person; zurückgelassene Person
Hinterbliebene,[im Plural ist dieses Wort schon gendergerecht]
Hintermann,Graue Eminenz; Schlüsselfigur; aus dem Hinterzimmer; drahtziehende Person; dahinter steckt/steht ... ; verantwortliche Person
Hintermänner,Schlüsselfiguren; aus dem Hinterzimmer; Hinterleute; Verantwortliche
Hinweisgeber,Hinweis gebende Person
Hinterbliebene (pl.),[im Plural ist dieses Wort schon gendergerecht]
Hirte,hütende Person
Historiker (pl.),Geschichtsforschende
Hörer (sg.),zuhörende Person
Hörer (pl.),zuhörende Personen
Hospitant,hospitierende Person
Hospitanten,Hospitierende
Hospizler,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Hostessen; Hosts,"<div class=""tooltip"">Gästebetreuende [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">siehe Anmerkung unter 'Gäste'</span> </div>"
Humanist,humanistische Person
Hundehalter (sg.),"Person, die einen Hund hält"
Ich-Erzähler,Ich-Form; Ich-Figur; erzählendes Ich
Illustrator,illustrierende Person
Illustratoren,Illustrierende
Imker,Bienenzüchtende Person
Immigranten (pl.),Menschen mit Migrationshintergrund /-geschichte /-biografie
Immobilienbesitzer (pl.),Immobilienbesitzende
Immobilieneigentümer (pl.),Personen mit Immobilienbesitz; Immobilienbesitzende
Immobilienkaufmann,Immobilienfachkraft
Individuum,[als Neutrum ist dieses Wort schon gendergerecht: DAS Individuum]
Industriekaufmänner,Industriekaufleute
Industriemechaniker (sg.),Industriemechanik ausführende Person
Influencer (sg.),Content gestaltende Person; influencende Person
Informant,Informationsquelle; Quelle
Informatiker (sg.),auf den IT-Bereich spezialisierte Person
Informationssicherheitsbeauftragter,beauftragte Person für Informationssicherheit
(Diplom-)Ingenieur,Person mit Ingenieursdiplom
Ingenieurberuf,Ingenieursberuf
Ingenieure (pl.),Ingenieursberuf Ausübende
